ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
133,Old Town-Dongan Hills-South Beach,Staten Island,8561,2295,793,24927,11772,13155,4815,3735,3969,17312,1107,2118,20610,10382,5190,678,3576,454,367,41.8,10518,8024,1922,572,0,707,78779,27612,40605,22804,1606,24411,POINT (959947.0984627753 156547.2492914349)
134,Ozone Park,Queens,6954,1188,479,23415,11419,11996,5404,2448,10181,5389,1350,5496,18662,10414,4006,813,4797,497,245,43.6,10771,8500,1633,629,9,389,82307,25503,34695,21087,2328,23383,POINT (1027739.453363359 187315.7914287746)
135,Park Slope,Brooklyn,31147,8950,1747,73881,35548,38333,14515,6683,12316,49436,3260,5177,60537,44552,3673,1008,30296,3394,4644,38.1,45295,35058,5381,4829,27,1197,160700,68597,64954,69486,4252,73516,POINT (990616.1532662809 184221.7336405218)
141,Parkchester,The Bronx,12689,4818,1448,30826,14527,16299,6377,3577,11741,617,12700,4790,24963,15251,2686,649,10482,831,235,48.3,15587,11804,3025,758,0,1126,57578,25195,33702,28015,2723,30820,POINT (1024094.947857112 244593.4324506819)
142,Pelham Bay-Country Club-City Island,The Bronx,11135,4142,1895,26172,12068,14104,4472,5466,10188,13506,940,1349,22024,11872,5724,771,4459,482,326,38.8,12252,8974,2819,408,51,553,77055,34028,48058,24161,1817,25976,POINT (1030707.478595272 249233.6078816056)
143,Pelham Parkway,The Bronx,11325,3643,1282,29947,13810,16137,6249,3918,13139,9619,4047,2776,24235,14312,3281,1197,7437,1508,526,41.1,14523,11135,2574,814,0,1052,70924,28365,39801,26236,3364,29399,POINT (1024428.364513114 251689.7184549421)
144,Pomonok,Queens,11905,2857,1294,36416,16753,19663,7603,4677,7976,11988,3730,11603,29414,14954,6372,1403,5674,975,391,41.9,15473,11734,2582,977,180,1369,74858,25721,28950,33651,2759,34079,POINT (1038329.848521113 207093.8942609429)
145,Port Richmond,Staten Island,6360,1509,698,19141,9770,9371,4197,2350,6674,7691,2908,1203,15378,8126,4305,446,2720,220,195,41.3,8245,6142,1708,395,0,832,76264,25792,34720,16916,2166,19082,POINT (948324.6640305221 170165.7335373461)
146,Prospect Heights,Brooklyn,9331,3349,644,20493,9973,10520,3299,2105,2343,10366,5090,1495,17456,12382,896,216,8778,835,991,40,12667,9500,1832,1272,63,527,117343,54383,55235,18784,1678,20467,POINT (993997.2455854416 185862.967234686)
147,Prospect Lefferts Gardens,Brooklyn,26590,8877,2792,69363,31044,38319,15126,9771,7294,10187,48670,1514,55671,31371,4368,944,22529,1592,1206,43.6,31962,24862,5327,1768,5,2880,62975,25151,33222,60200,8118,68268,POINT (996763.5330318511 179159.775260523)
